trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
356,FALSE,"{'a': 0.1, 'e': 0.04584007018271483}",25,10,20.83186946,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,FALSE,"{'a': 0.1, 'e': 0.045473349621253115}",25,0,30.49861018,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
358,FALSE,"{'a': 0.1, 'e': 0.045109562824283085}",30,8,39.49765654,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
359,FALSE,"{'a': 0.1, 'e': 0.044748686321688824}",25,9,25.04588807,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
360,FALSE,"{'a': 0.1, 'e': 0.044390696831115316}",25,17,15.08687363,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,FALSE,"{'a': 0.1, 'e': 0.04403557125646639}",25,13,24.3231425,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
362,FALSE,"{'a': 0.1, 'e': 0.04368328668641466}",30,17,-29.2811588,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
363,FALSE,"{'a': 0.1, 'e': 0.04333382039292334}",20,13,14.84836856,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
364,FALSE,"{'a': 0.1, 'e': 0.042987149829779955}",20,0,33.53926474,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
365,FALSE,"{'a': 0.1, 'e': 0.042643252631141715}",25,12,22.83545725,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
366,FALSE,"{'a': 0.1, 'e': 0.04230210661009258}",25,0,33.64856437,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
367,FALSE,"{'a': 0.1, 'e': 0.04196368975721184}",25,15,15.81573882,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
368,FALSE,"{'a': 0.1, 'e': 0.04162798023915415}",20,10,19.99717937,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
369,FALSE,"{'a': 0.1, 'e': 0.04129495639724091}",25,7,29.33978612,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
370,FALSE,"{'a': 0.1, 'e': 0.04096459674606298}",20,0,-23.46229616,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
371,FALSE,"{'a': 0.1, 'e': 0.040636879972094475}",25,6,-17.76202968,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
372,FALSE,"{'a': 0.1, 'e': 0.040311784932317726}",25,8,28.00324378,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
373,FALSE,"{'a': 0.1, 'e': 0.03998929065285918}",30,14,17.90622525,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
374,FALSE,"{'a': 0.1, 'e': 0.039669376327636306}",20,13,11.55239796,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
375,FALSE,"{'a': 0.1, 'e': 0.039352021317015214}",20,0,32.57875217,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
376,FALSE,"{'a': 0.1, 'e': 0.0390372051464791}",20,12,6.011802294,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
377,FALSE,"{'a': 0.1, 'e': 0.038724907505307264}",20,3,27.49676744,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
378,FALSE,"{'a': 0.1, 'e': 0.038415108245264805}",20,0,18.12428013,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
379,FALSE,"{'a': 0.1, 'e': 0.038107787379302684}",30,21,16.3871751,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
380,FALSE,"{'a': 0.1, 'e': 0.037802925080268265}",20,0,24.08072663,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
381,FALSE,"{'a': 0.1, 'e': 0.03750050167962612}",20,6,22.45454607,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
382,FALSE,"{'a': 0.1, 'e': 0.0372004976661891}",30,7,35.43929296,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
383,FALSE,"{'a': 0.1, 'e': 0.03690289368485959}",20,0,3.891521502,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
384,FALSE,"{'a': 0.1, 'e': 0.036607670535380714}",35,0,37.40836179,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",0
385,FALSE,"{'a': 0.1, 'e': 0.03631480917109767}",30,7,34.81084229,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
386,FALSE,"{'a': 0.1, 'e': 0.03602429069772889}",25,7,10.9957173,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
387,FALSE,"{'a': 0.1, 'e': 0.03573609637214706}",20,10,18.40391329,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
388,FALSE,"{'a': 0.1, 'e': 0.03545020760116988}",25,12,23.8483652,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
389,FALSE,"{'a': 0.1, 'e': 0.03516660594036052}",30,16,4.816529366,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
390,FALSE,"{'a': 0.1, 'e': 0.03488527309283764}",20,0,24.29249488,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
391,FALSE,"{'a': 0.1, 'e': 0.034606190908094935}",20,0,29.7960644,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
392,FALSE,"{'a': 0.1, 'e': 0.03432934138083018}",20,0,-6.125803343,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
393,FALSE,"{'a': 0.1, 'e': 0.03405470664978354}",25,7,29.53248029,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
394,FALSE,"{'a': 0.1, 'e': 0.03378226899658526}",20,6,20.94301129,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
395,FALSE,"{'a': 0.1, 'e': 0.03351201084461258}",20,0,28.69736271,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
396,FALSE,"{'a': 0.1, 'e': 0.03324391475785568}",20,12,12.89615343,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,FALSE,"{'a': 0.1, 'e': 0.03297796343979283}",20,8,22.49323668,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,FALSE,"{'a': 0.1, 'e': 0.032714139732274494}",20,3,26.4351495,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,FALSE,"{'a': 0.1, 'e': 0.032452426614416295}",30,16,27.21388918,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
400,FALSE,"{'a': 0.1, 'e': 0.032192807201500966}",30,20,15.75241754,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,FALSE,"{'a': 0.1, 'e': 0.03193526474388896}",25,8,30.63054476,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,FALSE,"{'a': 0.1, 'e': 0.03167978262593785}",30,17,16.63020263,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
403,FALSE,"{'a': 0.1, 'e': 0.031426344364930345}",20,0,26.59858242,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
404,FALSE,"{'a': 0.1, 'e': 0.031174933610010905}",30,0,48.59005122,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
405,FALSE,"{'a': 0.1, 'e': 0.030925534141130813}",25,0,42.24511145,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
406,FALSE,"{'a': 0.1, 'e': 0.030678129868001766}",30,21,18.93674166,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,FALSE,"{'a': 0.1, 'e': 0.03043270482905775}",25,0,24.20747706,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",0
408,FALSE,"{'a': 0.1, 'e': 0.03018924319042529}",25,0,-5.262569911,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
